Title,Discreption,price,,,,
Address:,Madapatha,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 5,375,800 total price"
Address:,piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,piliyandala madapath,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,"Piliyandela ,Makandena",Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.2 perches,"Rs 600,000 per perch"
Address:,Kesbewa.,Land type:,Residential,Land size:,6.0 perches,"Rs 675,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.2 perches,"Rs 600,000 per perch"
Land type:,"Commercial, Residential",Land size:,7.0 perches,"Rs 5,678,900 total price",,
Address:,"පිළියන්දල ,කැස්බෑව ,මඩපාත",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,පිලියන්දල කැස්බෑව,Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,මඩපාත පාර පිලියන්දල,Land type:,Residential,Land size:,6.5 perches,"Rs 800,000 per perch"
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,18.2 perches,"Rs 600,000 per perch"
Address:,පිලියන්දල මාකන්දන,Land type:,Residential,Land size:,7.0 perches,"Rs 5,200,000 total price"
Address:,makandana,Land type:,"Agricultural, Commercial, Residential",Land size:,6.9 perches,"Rs 5,100,000 total price"
Address:,piliyandala  makandana,Land type:,Residential,Land size:,6.5 perches,"Rs 810,000 per perch"
Address:,මඩපාත පාරෙන්,Land type:,"Commercial, Residential",Land size:,6.9 perches,"Rs 5,520,000 total price"
Address:,මාකන්දන,Land type:,"Commercial, Residential",Land size:,6.5 perches,"Rs 5,000,000 total price"
Address:,Piliyandala / Kesbewa,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.9 perches,"Rs 825,675 per perch",,
Address:,kahathuduwa,Land type:,Residential,Land size:,8.0 perches,"Rs 400,000 per perch"
Address:,Madapatha road piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 800,000 per perch"
Address:,මඩපාත පාර පිලියන්දල,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,මාකන්දන,Land type:,Residential,Land size:,6.3 perches,"Rs 775,000 per perch"
Address:,piliyandala,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,"පිළියන්දල , කැස්බෑව ,මඩපාත",Land type:,"Commercial, Residential",Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,පිලියන්දල කැස්බෑව,Land type:,Residential,Land size:,7.0 perches,"Rs 900,000 per perch"
Address:,Diyakada Road,Land type:,"Residential, Other",Land size:,15.0 perches,"Rs 315,000 per perch"
Address:,"kahathuduwa,diyakada",Land type:,"Commercial, Residential",Land size:,10.0 perches,"Rs 190,000 per perch"
Address:,Piliyandala Mandawila Rd,Land type:,Residential,Land size:,10.5 perches,"Rs 900,000 per perch"
Address:,Piliyandala Madapatha Kate Garden,Land type:,Residential,Land size:,11.0 perches,"Rs 7,500,000 total price"
Address:,kesbawa piliyandala,Land type:,"Commercial, Residential",Land size:,6.8 perches,"Rs 800,000 per perch"
Address:,madapath piliyandala,Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 800,000 per perch"
Address:,මඩපාත පාර පිලියන්දල,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,පිළියන්දල,Land type:,Residential,Land size:,8.0 perches,"Rs 800,000 per perch"
Address:,piliyandela  Makandena,Land type:,Residential,Land size:,6.0 perches,"Rs 800,000 per perch"
Address:,kasbawa Piliyandala,Land type:,Residential,Land size:,7.0 perches,"Rs 850,000 per perch"
Land type:,"Commercial, Residential",Land size:,6.7 perches,"Rs 821,780 per perch",,
Land type:,"Commercial, Residential",Land size:,6.75 perches,"Rs 811,890 per perch",,
Address:,Thalawathugoda Hokandara,Land type:,Residential,Land size:,6.0 perches,"Rs 985,000 per perch"
Address:,පිළියන්දල,Land type:,Residential,Land size:,7.0 perches,"Rs 795,000 per perch"
Address:,Kahathuduwa Diyakada,Land type:,Residential,Land size:,6.0 perches,"Rs 400,000 per perch"
Address:,Polgasovita Diyakada,Land type:,Residential,Land size:,6.0 perches,"Rs 2,400,000 total price"
Address:,gonamaditta road,Land type:,Residential,Land size:,12.4 perches,"Rs 775,000 per perch"
Address:,mandavila road,Land type:,Residential,Land size:,10.2 perches,"Rs 8,700,000 total price"
Address:,piliyandala new city 2,Land type:,Residential,Land size:,9.5 perches,"Rs 710,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 390,000 per perch"
Address:,"Piliyandala, Batuwandara",Land type:,"Agricultural, Residential",Land size:,10.0 perches,"Rs 5,000,000 total price"
Address:,"Piliyandala, Wishwakalawa, Bypass road",Land type:,"Commercial, Residential",Land size:,9.6 perches,"Rs 14,000,000 total price"
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Address:,"No 333/2,thewaththa rd,koralaima,Gonapola junction",Land type:,Residential,Land size:,10.0 perches,"Rs 450,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,8.0 perches,"Rs 430,000 per perch"
Address:,kotagedara madapatha road,Land type:,Residential,Land size:,15.0 perches,"Rs 520,000 per perch"
Address:,piliyandala bokundara,Land type:,Residential,Land size:,12.0 perches,"Rs 1,150,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,6.0 perches,"Rs 390,000 per perch"
Address:,Dolekanatta Junction,Land type:,Residential,Land size:,9.6 perches,"Rs 8,000,000 total price"
Address:,"Kela Pansala Road, Madapatha",Land type:,"Commercial, Residential",Land size:,49.5 perches,"Rs 650,000 per perch"
Address:,"Rathna Mawatha, Bokundara, Piliyandala",Land type:,"Residential, Other",Land size:,10.0 perches,"Rs 865,000 per perch"
Address:,piliyandala,Land type:,"Commercial, Residential",Land size:,12.3 perches,"Rs 1,260,000 per perch"
Address:,kahathuduwa highway exit,Land type:,"Commercial, Residential",Land size:,6.0 perches,"Rs 395,000 per perch"
Address:,Kahathuduwa,Land type:,Residential,Land size:,8.0 perches,"Rs 390,000 per perch"
Land type:,Residential,Land size:,6.0 perches,"Rs 850,000 per perch",,
Address:,piliyandala,Land type:,"Commercial, Residential, Other",Land size:,7.0 perches,"Rs 3,000,000 total price"
Address:,පිළියන්දල / විශ්වකලාව,Land type:,Residential,Land size:,10.0 perches,"Rs 8,500,000 total price"
Address:,120 colombo road facing,Land type:,Commercial,Land size:,2.0 perches,"Rs 8,000,000 total price"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,diyagama,Land type:,Residential,Land size:,7.0 perches,"Rs 420,000 per perch"
Address:,Kotagethara Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 550,000 per perch"
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,piliyandala /Miriswatta,Land type:,Residential,Land size:,10.0 perches,"Rs 1,050,000 per perch"
Address:,kahathuduwa weediyagoda Road,Land type:,Residential,Land size:,10.0 perches,"Rs 2,300,000 total price"
Address:,Polgasowita,Land type:,Residential,Land size:,8.0 perches,"Rs 3,480,000 total price"
Address:,Kahathuduwa,Land type:,Residential,Land size:,8.0 perches,"Rs 2,800,000 total price"
Address:,Kahathuduwa Land,Land type:,Residential,Land size:,10.0 perches,"Rs 2,200,000 total price"
Land type:,Residential,Land size:,20.0 perches,"Rs 1,100,000 per perch",,
Land type:,Residential,Land size:,10.0 perches,"Rs 1,100,000 per perch",,
Address:,Piliyandala,Land type:,Residential,Land size:,18.0 perches,"Rs 600,000 per perch"
Address:,Piliyandala,Land type:,Residential,Land size:,15.0 perches,"Rs 1,100,000 per perch"
Address:,"Piliyandala, Kotagedara",Land type:,Commercial,Land size:,10.6 perches,"Rs 13,000,000 total price"
